phoneme,n_languages,freq,IDF
ɤː,7,0.003227293683725219,5.736111361771561
ɤˑ,1,4.610419548178884e-4,7.682021510826875
ɤ̃,4,0.0018441678192715537,6.295727149706984
ɤ̃ː,1,4.610419548178884e-4,7.682021510826875
ɤ̝,1,4.610419548178884e-4,7.682021510826875
ɤ̞,11,0.005071461502996773,5.284126238028504
ɤ̞ː,2,9.220839096357768e-4,6.988874330266929
ɤ̞̃,2,9.220839096357768e-4,6.988874330266929
ɤ̞̆,1,4.610419548178884e-4,7.682021510826875
ɤ̟,3,0.0013831258644536654,6.583409222158765
ɤ̟̞̃,1,4.610419548178884e-4,7.682021510826875
ɤ̟̹,1,4.610419548178884e-4,7.682021510826875
ɤ̤,4,0.0018441678192715537,6.295727149706984
ɤ̤i̤,1,4.610419548178884e-4,7.682021510826875
ɤ̤ː,1,4.610419548178884e-4,7.682021510826875
ɥ,33,0.015214384508990318,4.185513949360394
ɥˤ,1,4.610419548178884e-4,7.682021510826875
ɥ̃,4,0.0018441678192715537,6.295727149706984
ɥ̥,1,4.610419548178884e-4,7.682021510826875
ɦ,67,0.030889810972798526,3.477328891435908
ɦʷ,2,9.220839096357768e-4,6.988874330266929
ɦ̤,2,9.220839096357768e-4,6.988874330266929
ɧ,1,4.610419548178884e-4,7.682021510826875
ɨ,362,0.1668971876440756,1.7903772990011033
ɨa,4,0.0018441678192715537,6.295727149706984
ɨi,5,0.002305209774089442,6.072583598392774
ɨi̯,1,4.610419548178884e-4,7.682021510826875
ɨə,3,0.0013831258644536654,6.583409222158765
ɨː,64,0.02950668510834486,3.5231384274672024
ɨˑ,1,4.610419548178884e-4,7.682021510826875
ɨ˞,2,9.220839096357768e-4,6.988874330266929
ɨ̃,89,0.04103273397879207,3.1933851410947347
ɨ̃ĩ,1,4.610419548178884e-4,7.682021510826875
ɨ̃ː,5,0.002305209774089442,6.072583598392774
ɨ̆,2,9.220839096357768e-4,6.988874330266929
ɨ̘,1,4.610419548178884e-4,7.682021510826875
ɨ̜,1,4.610419548178884e-4,7.682021510826875
ɨ̞,7,0.003227293683725219,5.736111361771561
ɨ̞ː,1,4.610419548178884e-4,7.682021510826875
ɨ̞̃,1,4.610419548178884e-4,7.682021510826875
ɨ̞̃ː,1,4.610419548178884e-4,7.682021510826875
ɨ̞̰,1,4.610419548178884e-4,7.682021510826875
ɨ̠,1,4.610419548178884e-4,7.682021510826875
ɨ̤,1,4.610419548178884e-4,7.682021510826875
ɨ̥,1,4.610419548178884e-4,7.682021510826875
ɨ̰,1,4.610419548178884e-4,7.682021510826875
ɨ̹,2,9.220839096357768e-4,6.988874330266929
ɨ̹ː,1,4.610419548178884e-4,7.682021510826875
ɪ,310,0.1429230059935454,1.9454492133476824
ɪa,1,4.610419548178884e-4,7.682021510826875
ɪã,1,4.610419548178884e-4,7.682021510826875
ɪe̞,1,4.610419548178884e-4,7.682021510826875
ɪi,1,4.610419548178884e-4,7.682021510826875
ɪu,1,4.610419548178884e-4,7.682021510826875
ɪə,4,0.0018441678192715537,6.295727149706984
